# === FILE: accountChangePassword-translated.csv ===

key,en,fr,selector,type,attr
library.entry.more.pin,Pin,Épingler,.dropdown-menu[role="menu"] button.dropdown-item:nth-of-type(1),attr,data-i18n-text
library.entry.more.copyLink,Copy Permalink,Copier le permalien,.dropdown-menu[role="menu"] button.dropdown-item:nth-of-type(2),attr,data-i18n-text
library.entry.more.markInappropriate,Mark as Inappropriate,Signaler comme inapproprié,.dropdown-menu[role="menu"] button.dropdown-item:nth-of-type(3),attr,data-i18n-text
library.entry.more.follow,Follow,Suivre,.dropdown-menu[role="menu"] button.dropdown-item:nth-of-type(4),attr,data-i18n-text
library.entry.more.reindex,Reindex,Réindexer,.dropdown-menu[role="menu"] button.dropdown-item:nth-of-type(5),attr,data-i18n-text

library.entry.more.delete,Delete,Supprimer,.dropdown-menu[role="menu"] .dropdown-divider + button.dropdown-item,attr,data-i18n-text

library.noFolderSelected,No folder selected:,Aucun dossier sélectionné :,".library-grid--control-row.library-topRow .font-weight-bold",text,
library.view.legend,View:,Affichage :,"#library-view-toggle legend",text,
library.view.row.title,Change to row view,Passer à la vue en lignes,"label[for=""library-layout-view-radio-row""]",attr,title
library.view.row.sr,Change to row view,Passer à la vue en lignes,"label[for=""library-layout-view-radio-row""] .sr-only",text,
library.view.card.title,Change to card view,Passer à la vue en cartes,"label[for=""library-layout-view-radio-card""]",attr,title
library.view.card.sr,Change to card view,Passer à la vue en cartes,"label[for=""library-layout-view-radio-card""] .sr-only",text,
library.view.admin.title,Change to admin view,Passer à la vue administrateur,"label[for=""library-layout-view-radio-admin""]",attr,title
library.view.admin.sr,Change to admin view,Passer à la vue administrateur,"label[for=""library-layout-view-radio-admin""] .sr-only",text,

library.filter.legend,Filter By:,Filtrer par:,".library-filterRow .ms-1",text,
library.filter.fileType.btn.label,File Type,Type de fichier,"button[qa-id=""file-type-filter-menu-open""] .font-weight-normal",text,
library.filter.fileType.btn.aria,Open File Type filter options,Ouvrir les options de filtre par type de fichier,"button[qa-id=""file-type-filter-menu-open""]",attr,aria-label
library.sort.legend,Sort By:,Trier par:,"label[for^=""dropdown-sort_""]",text,

library.sort.option.dateDesc,Date Created - Descending,Date de création – décroissante,"select[qa-id=""sort-library-entries""] option[value=""Date Created - Descending""]",text,
library.sort.option.titleAZ,Title A-Z,Titre A-Z,"select[qa-id=""sort-library-entries""] option[value=""Title A-Z""]",text,
library.sort.option.titleZA,Title Z-A,Titre Z-A,"select[qa-id=""sort-library-entries""] option[value=""Title Z-A""]",text,
library.sort.option.mostDownloaded,Most Downloaded,Le plus téléchargé,"select[qa-id=""sort-library-entries""] option[value=""Most Downloaded""]",text,
library.sort.option.mostViewed,Most Viewed,Le plus consulté,"select[qa-id=""sort-library-entries""] option[value=""Most Viewed""]",text,

library.entry.views.label,Views ,Vues ,"#library-explorer-entries .flex-shrink-0 > div > span:nth-child(1) .entry-count-text",text,
library.entry.downloads.label,Downloads ,Téléchargements ,"#library-explorer-entries .flex-shrink-0 > div > span:nth-child(2) .entry-count-text",text,

# library.entry.meta.postedBy,Posted By ,Publié par ,".library-entry-meta small:first-child",textnode,

library.folders.close.title,Close folders tree,Fermer l’arborescence des dossiers,"button[qa-id=""close-folder-view""]",attr,title
library.folders.close.aria,Close folders tree,Fermer l’arborescence des dossiers,"button[qa-id=""close-folder-view""]",attr,aria-label

library.entry.create.text,Create Entry,Créer une entrée,".widget-heading .create-new-entry",text,

# === FILE: communityMembers-translated.csv ===

# --- Field labels ---
members.find.firstName,First Name,Prénom,#MainCopy_ctl10_FirstNameLabel,attr,data-i18n-text
members.find.lastName,Last Name,Nom,#MainCopy_ctl10_LastNameLabel,attr,data-i18n-text
members.find.company,Company Name,Organisation,#MainCopy_ctl10_CompanyNameLabel,attr,data-i18n-text
members.find.email,Email Address,Adresse courriel,#MainCopy_ctl10_Label5,attr,data-i18n-text

# --- Input titles (tooltips) ---
members.find.firstName.title,First Name,Prénom,#MainCopy_ctl10_FindFirstName,attr,title
members.find.lastName.title,Last Name,Nom,#MainCopy_ctl10_FindLastName,attr,title
members.find.company.title,Company Name,Organisation,#MainCopy_ctl10_FindCompanyName,attr,title
members.find.email.title,Email Address,Adresse courriel,#MainCopy_ctl10_EmailAddress,attr,title

# --- Email validator/help text ---
# members.find.email.validator,Please enter additional criteria for the email address. These values are not allowed: @,%,.,com,org,.com,.org,Veuillez saisir des critères supplémentaires pour l’adresse courriel. Les valeurs suivantes ne sont pas autorisées : @, %, ., com, org, .com, .org,#MainCopy_ctl10_EmailAddressCharacterValidator,attr,data-i18n-text

# --- Action buttons ---
members.actions.find,Find Members,Rechercher des membres,#MainCopy_ctl12_FindContacts,attr,value
members.actions.clear,Clear All,Effacer tout,#MainCopy_ctl12_ClearSearchResults,attr,value
members.actions.clear.title,Clear All,Effacer tout,#MainCopy_ctl12_ClearSearchResults,attr,title

# --- Sort select (label is implicit via title) ---
members.sort.title,Display Options,Options d’affichage,#MainCopy_ctl12_SortOptions,attr,title
members.sort.nameAZ,Name A-Z,Nom A–Z,#MainCopy_ctl12_SortOptions option[value="Name_AZ"],attr,data-i18n-text
members.sort.nameZA,Name Z-A,Nom Z–A,#MainCopy_ctl12_SortOptions option[value="Name_ZA"],attr,data-i18n-text
members.sort.companyAZ,Company A-Z,Organisation A–Z,#MainCopy_ctl12_SortOptions option[value="Company_AZ"],attr,data-i18n-text
members.sort.companyZA,Company Z-A,Organisation Z–A,#MainCopy_ctl12_SortOptions option[value="Company_ZA"],attr,data-i18n-text
members.sort.cityAZ,City A-Z,Ville A–Z,#MainCopy_ctl12_SortOptions option[value="City_AZ"],attr,data-i18n-text
members.sort.cityZA,City Z-A,Ville Z–A,#MainCopy_ctl12_SortOptions option[value="City_ZA"],attr,data-i18n-text
members.sort.stateAZ,State A-Z,Province/État A–Z,#MainCopy_ctl12_SortOptions option[value="State_AZ"],attr,data-i18n-text
members.sort.stateZA,State Z-A,Province/État Z–A,#MainCopy_ctl12_SortOptions option[value="State_ZA"],attr,data-i18n-text
members.sort.countryAZ,Country A-Z,Pays A–Z,#MainCopy_ctl12_SortOptions option[value="Country_AZ"],attr,data-i18n-text
members.sort.countryZA,Country Z-A,Pays Z–A,#MainCopy_ctl12_SortOptions option[value="Country_ZA"],attr,data-i18n-text

# --- Results per page ---
members.perPage.title,Results Per Page,Résultats par page,#MainCopy_ctl12_ResultsPerPage,attr,title
members.perPage.showAll,Show All,Afficher tout,#MainCopy_ctl12_ResultsPerPage option[value="20"],attr,data-i18n-text

members.sendMessage.value,Send Message,Envoyer un message,"input[id^=""MainCopy_ctl12_Contacts_SendMessageButton""]",attr,value
members.addContact.value,Add as Contact,Ajouter comme contact,"input[id^=""MainCopy_ctl12_Contacts_FriendButton""]",attr,value

members.msg.subject.label,Subject,Objet,"#message-subject-label",text,
members.msg.body.label,Message,Message,"#message-body-label",text,

members.msg.send.text,Send,Envoyer,"#Send",text,

members.msg.cancel.text,Cancel,Annuler,"#Cancel",text,

members.msg.error.text,Cannot send message. Data required.,Impossible d’envoyer le message. Données requises.,"#error-msg",text,

/* Used by the helper below to localize the dynamic header prefix */
# directory.msg.header.prefix,Message to ,Message à ,"#modal-send-message .modal-header",text,

export.top.value,Export,Exporter,"#MainCopy_ctl12_ExportButtonTop",attr,value
export.top.title,Export,Exporter,"#MainCopy_ctl12_ExportButtonTop",attr,title
export.top.aria,Export these results,Exporter ces résultats,"#MainCopy_ctl12_ExportButtonTop",attr,aria-label

export.dialog.title,Export Options,Options d’exportation,"[aria-describedby=""ExportOptions""] .ui-dialog-title",text,
export.dialog.close.text,close,fermer,"[aria-describedby=""ExportOptions""] .ui-dialog-titlebar-close .ui-button-text",text,
export.dialog.close.aria,Close export options,Fermer les options d’exportation,"[aria-describedby=""ExportOptions""] .ui-dialog-titlebar-close",attr,aria-label

export.dialog.choose,Choose a file format,Choisir un format de fichier,"#ExportOptions > .row.form-group:first-child .col-md-12",text,

export.format.excel.label,Excel file,Fichier Excel,"label[for=""ExportExcelRadio""]",text,
export.format.excel.title,Excel Format,Format Excel,"#MainCopy_ctl12_ExportExcelRadio",attr,title

export.format.csv.label,CSV file,Fichier CSV,"label[for=""ExportCSVRadio""]",text,
export.format.csv.title,CSV Format,Format CSV,"#MainCopy_ctl12_ExportCSVRadio",attr,title

export.dialog.download.value,Download,Télécharger,"#MainCopy_ctl12_ExportDetails",attr,value
export.dialog.download.title,Download,Télécharger,"#MainCopy_ctl12_ExportDetails",attr,title
export.dialog.download.aria,Download exported file,Télécharger le fichier exporté,"#MainCopy_ctl12_ExportDetails",attr,aria-label

# === FILE: communityMy-translated.csv ===

# ===== Filters: Display =====
communities.filter.display.belong-or-join,"Communities to which I belong or can join","Communautés auxquelles j’appartiens ou que je peux rejoindre","#MainCopy_ctl02_ddlDisplay option[value='4']",text,
communities.filter.display.belong,"Communities to which I belong","Communautés auxquelles j’appartiens","#MainCopy_ctl02_ddlDisplay option[value='0']",text,
communities.filter.display.joinable,"Communities I can join","Communautés que je peux rejoindre","#MainCopy_ctl02_ddlDisplay option[value='1']",text,
communities.filter.display.viewable,"Communities I can only view","Communautés que je peux seulement consulter","#MainCopy_ctl02_ddlDisplay option[value='2']",text,
communities.filter.display.all,"All Communities","Toutes les communautés","#MainCopy_ctl02_ddlDisplay option[value='3']",text,

# ===== Sort: Order By =====
communities.sort.alpha,"Alphabetical","Ordre alphabétique","#MainCopy_ctl02_ddlOrderBy option[value='0']",text,
communities.sort.updated.most,"Most recently updated","Les plus récemment mises à jour","#MainCopy_ctl02_ddlOrderBy option[value='1']",text,
communities.sort.active.most,"Most active","Les plus actives","#MainCopy_ctl02_ddlOrderBy option[value='2']",text,
communities.sort.people.most,"Most people","Le plus de personnes","#MainCopy_ctl02_ddlOrderBy option[value='3']",text,
communities.sort.posts.most,"Most discussion posts","Le plus de messages de discussion","#MainCopy_ctl02_ddlOrderBy option[value='4']",text,
communities.sort.library.most,"Most Library entries","Le plus d’éléments de la bibliothèque","#MainCopy_ctl02_ddlOrderBy option[value='5']",text,
communities.sort.alpha.reverse,"Reverse alphabetical","Ordre alphabétique inverse","#MainCopy_ctl02_ddlOrderBy option[value='6']",text,
communities.sort.updated.least,"Least recently updated","Les moins récemment mises à jour","#MainCopy_ctl02_ddlOrderBy option[value='7']",text,
communities.sort.active.least,"Least active","Les moins actives","#MainCopy_ctl02_ddlOrderBy option[value='8']",text,
communities.sort.people.fewest,"Fewest people","Le moins de personnes","#MainCopy_ctl02_ddlOrderBy option[value='9']",text,
communities.sort.posts.fewest,"Fewest discussion posts","Le moins de messages de discussion","#MainCopy_ctl02_ddlOrderBy option[value='10']",text,
communities.sort.library.fewest,"Fewest Library entries","Le moins d’éléments de la bibliothèque","#MainCopy_ctl02_ddlOrderBy option[value='11']",text,

# ===== Paging: Results per page =====
communities.perpage.20,"20 per page","20 par page","#MainCopy_ctl02_ddlResultsPerPage option[value='20']",text,
communities.perpage.50,"50 per page","50 par page","#MainCopy_ctl02_ddlResultsPerPage option[value='50']",text,

# ===== Stats buttons (keep the <span class="badge"> intact) =====
# Use data-i18n-text so we replace only the first text node (before the badge)
communities.stat.discussions,"Discussions","Discussions","#MainCopy_ctl02_lstCommunityList_lbCommunityDiscussionCount_0",attr,data-i18n-text
communities.stat.libraries,"Libraries","Bibliothèques","#MainCopy_ctl02_lstCommunityList_lbCommunityDocumentsCount_0",attr,data-i18n-text
communities.stat.members,"Members","Membres","#MainCopy_ctl02_lstCommunityList_lbCommunityMembersCount_0",attr,data-i18n-text

# === FILE: connections-translated.csv ===

connections.title,Contacts,Contacts,#MainCopy_ctl29_h2Title,text,
contacts_export_btn_title,Export,Exporter,#MainCopy_ctl29_FindContacts_ExportButtonTop,attr,title

connections.linkSocial,Link to other social media accounts,Lier d’autres comptes de médias sociaux,#MainCopy_ctl29_FindContacts_NoDataMe,text,
connections.searchDirectory,Search Directory,Rechercher dans l’annuaire,#MainCopy_ctl29_FindContacts_searchDirectory,text,
connections.peopleYouMayKnow,People You May Know,Personnes que vous pourriez connaître,[id^='FindContactsByLikeness'],text,
connections.noSuggestions,"Currently, there are no suggestions.","Aucune suggestion pour le moment.",.HLLandingControl.HL-contact-suggestions .alert.alert-default.text-muted,text,

contacts_sort_title,Display Options,Options d’affichage,#MainCopy_ctl29_FindContacts_SortOptions,attr,title
contacts_sort_opt_name_az,Name A-Z,Nom A-Z,#MainCopy_ctl29_FindContacts_SortOptions option[value="Name_AZ"],text,
contacts_sort_opt_name_za,Name Z-A,Nom Z-A,#MainCopy_ctl29_FindContacts_SortOptions option[value="Name_ZA"],text,
contacts_sort_opt_company_az,Company A-Z,Entreprise A-Z,#MainCopy_ctl29_FindContacts_SortOptions option[value="Company_AZ"],text,
contacts_sort_opt_company_za,Company Z-A,Entreprise Z-A,#MainCopy_ctl29_FindContacts_SortOptions option[value="Company_ZA"],text,
contacts_sort_opt_city_az,City A-Z,Ville A-Z,#MainCopy_ctl29_FindContacts_SortOptions option[value="City_AZ"],text,
contacts_sort_opt_city_za,City Z-A,Ville Z-A,#MainCopy_ctl29_FindContacts_SortOptions option[value="City_ZA"],text,
contacts_sort_opt_state_az,State A-Z,Province/État A-Z,#MainCopy_ctl29_FindContacts_SortOptions option[value="State_AZ"],text,
contacts_sort_opt_state_za,State Z-A,Province/État Z-A,#MainCopy_ctl29_FindContacts_SortOptions option[value="State_ZA"],text,
contacts_sort_opt_country_az,Country A-Z,Pays A-Z,#MainCopy_ctl29_FindContacts_SortOptions option[value="Country_AZ"],text,
contacts_sort_opt_country_za,Country Z-A,Pays Z-A,#MainCopy_ctl29_FindContacts_SortOptions option[value="Country_ZA"],text,

contacts_results_title,Results Per Page,Résultats par page,#MainCopy_ctl29_FindContacts_ResultsPerPage,attr,title

contacts_send_msg_value,Send Message,Envoyer un message,input[id^="MainCopy_ctl29_FindContacts_Contacts_SendMessageButton_"],attr,value

contacts_remove_value,Remove Contact,Retirer le contact,input[id^="MainCopy_ctl29_FindContacts_Contacts_FriendButton_"],attr,value

request_contact_text,Request Contact,Demander comme contact,.add-contact,text,
request_contact_title,Request Contact,Demander comme contact,.add-contact,attr,title
ignore_contact_text,Ignore,Ignorer,.ignore-contact,text,
ignore_contact_title,Ignore,Ignorer,.ignore-contact,attr,title

# === FILE: contact-translated.csv ===

contact.address.html,"60 St. Clair Avenue East, Suite 700<br>Toronto Ontario M4T 1N5<br>Canada<br>Phone: 416-665-2828<br>Toll Free: 1-877-568-1571<br>FAX: 416-665-1661","60, avenue St. Clair Est, bureau 700<br>Toronto (Ontario) M4T 1N5<br>Canada<br>Téléphone : 416-665-2828<br>Sans frais : 1-877-568-1571<br>Télécopieur : 416-665-1661",".section3 .panel.panel-form address, .row.panel.panel-form address",attr,innerHTML

contact.form.heading,Send Us A Message,Envoyez-nous un message,#MainCopy_ctl06_EmailForm h2,text,

contact.firstName.label,Your First Name,Prénom,#MainCopy_ctl06_EmailForm label[for="MainCopy_ctl06_FirstName"],text,
contact.firstName.required,Please enter your first name,Veuillez entrer votre prénom,#MainCopy_ctl06_FirstNameRequiredValidator,text,
contact.firstName.title,Your First Name,Prénom,#MainCopy_ctl06_FirstName,attr,title

contact.lastName.label,Your Last Name,Nom de famille,#MainCopy_ctl06_EmailForm label[for="MainCopy_ctl06_LastName"],text,
contact.lastName.required,Please enter your last name,Veuillez entrer votre nom de famille,#MainCopy_ctl06_LastNameRequiredfieldvalidator,text,
contact.lastName.title,Your Last Name,Nom de famille,#MainCopy_ctl06_LastName,attr,title

contact.email.label,Your Email Address,Adresse courriel,#MainCopy_ctl06_EmailForm label[for="MainCopy_ctl06_FromEmailAddress"],text,
contact.email.required,Please enter your email address,Veuillez entrer votre adresse courriel,#MainCopy_ctl06_FromEmailAddressRequiredfieldvalidator,text,
contact.email.title,Your Email Address,Adresse courriel,#MainCopy_ctl06_FromEmailAddress,attr,title

contact.phone.label,Your Phone Number (optional),Votre numéro de téléphone (facultatif),#MainCopy_ctl06_EmailForm label[for="MainCopy_ctl06_Phone"],text,
contact.phone.title,Your Phone Number (optional),Votre numéro de téléphone (facultatif),#MainCopy_ctl06_Phone,attr,title

contact.subject.label,Subject,Objet,#MainCopy_ctl06_EmailForm label[for="MainCopy_ctl06_Subject"],text,
contact.subject.title,Subject,Objet,#MainCopy_ctl06_Subject,attr,title

contact.message.label,Message,Message,#MainCopy_ctl06_EmailForm label[for="MainCopy_ctl06_Comments"],text,
contact.message.aria,Your Message,Votre message,#MainCopy_ctl06_Comments,attr,aria-label

contact.send.button,Send,Envoyer,#MainCopy_ctl06_SendButton,attr,value

# === FILE: contribList-translated.csv ===

section.contribution,Contributions,Participations,#MainCopy_ctl29_TitleText,text,

# Contributions → List
contribList.noData,Nothing has yet been shared.,Rien n’a encore été partagé,.NoDataBadSearch,text,
contribList.search.label,search criteria = ,critères de recherche = ,#SearchCriteriaLabel,text,
contribList.search.value.ALL,ALL,TOUT,#SearchTerm,text,

filter_option_all,View all items,Afficher tous les éléments,#MainCopy_ctl29_FilterOptionDropDown option[value="all"],text,
filter_option_published,View published items,Afficher les éléments publiés,#MainCopy_ctl29_FilterOptionDropDown option[value="published"],text,
filter_option_draft,View draft items,Afficher les brouillons,#MainCopy_ctl29_FilterOptionDropDown option[value="draft"],text,
filter_option_scheduled,View scheduled items,Afficher les éléments planifiés,#MainCopy_ctl29_FilterOptionDropDown option[value="scheduled"],text,

# search.result.foundin.label,Found In,Trouvé dans,span[id*="SearchResult_FoundInIn_"] > span,text,
# search.result.postedby.label,Posted By,Publié par,span[id*="SearchResult_PostedBy_"] > span,text,

search.result.postedby.label,Posted By,Publié par,span[id^="MainCopy_ctl29_SearchResult_PostedBy_"] > span,text,
search.result.foundin.label,Found In,Trouvé dans,span[id^="MainCopy_ctl29_SearchResult_FoundInIn_"] > span,text,

# === FILE: contribSummary-translated.csv ===

contribSummary.nodata.title,you have not yet created any content,Vous n’avez pas encore créé de contenu,.hl-no-data strong,text,
contribSummary.nodata.subtitle,feel free to post to a discussion,N’hésitez pas à publier dans une discussion,.hl-no-data p,text,

# Right column headings
contribSummary.h3.achievements,Achievements,Succès,.MVCContent .col-md-4 > h3:nth-of-type(1),text,
contribSummary.h3.points,Points,Points,.MVCContent .col-md-4 > h3:nth-of-type(2),text,

# Link title
contribSummary.achievements.linkTitle,View Achievements,Afficher les succès,.achievements a,attr,title

# Points labels (order-based)
contribSummary.points.engagement,Engagement,Engagement,.points .inline:nth-of-type(1) .data > div,text,
contribSummary.points.contributions,Contributions,Contributions,.points .inline:nth-of-type(2) .data > div,text,
contribSummary.points.reputation,Reputation,Réputation,.points .inline:nth-of-type(3) .data > div,text,

# RUNTIME-ONLY (no selector): achievements progress line
contribSummary.ach.progress.one,{done} of {total} achieved,{done} sur {total} atteint,,,
contribSummary.ach.progress.other,{done} of {total} achieved,{done} sur {total} atteints,,,

# === FILE: eventsCalendar-translated.csv ===

calendar_toggle_filter_title,Hide Filter,Masquer le filtre,#MainCopy_ctl06_ShowFilter,attr,title
calendar_toggle_filter_value,Hide Filter,Masquer le filtre,#MainCopy_ctl06_ShowFilter,attr,value
calendar_filtering_on_label,Filtering On:,Filtre activé :,#MainCopy_ctl06_FilteringOnPrompt,text,
calendar_filtering_on_value,Community,Communauté,#MainCopy_ctl06_FilteringOnValue,text,

calendar_keywords_label,Keywords,Mots-clés,#MainCopy_ctl06_SearchLabel,text,
calendar_keywords_title,Keywords,Mots-clés,#MainCopy_ctl06_SearchLabel,attr,title

calendar_location_label,Location,Emplacement,#MainCopy_ctl06_EventsInLabel,text,
calendar_location_title,Location,Emplacement,#MainCopy_ctl06_EventsInLabel,attr,title
calendar_location_option_all,All,Tout,#MainCopy_ctl06_LocationList option[value="All"],text,
calendar_location_option_ca,Canada,Canada,#MainCopy_ctl06_LocationList option[value="CA_Canada_c"],text,
calendar_location_option_on,Ontario,Ontario,#MainCopy_ctl06_LocationList option[value="CA_ON_Ontario_s"],text,

calendar_community_label,Community,Communauté,#MainCopy_ctl06_CommunityLabel,text,
calendar_community_title,Community,Communauté,#MainCopy_ctl06_CommunityLabel,attr,title
calendar_community_select_title,Select Community,Sélectionner une communauté,#CommunityList,attr,title
calendar_community_data_emptytext,All,Tout,#CommunityList,attr,data-emptytext
calendar_community_data_searchph,Search for a community,Rechercher une communauté,#CommunityList,attr,data-searchplaceholdertext
calendar_community_data_status_no,No communities found,Aucune communauté trouvée,#CommunityList,attr,data-statusnoresulttext
calendar_community_data_status_find,Searching for communities,Recherche de communautés,#CommunityList,attr,data-statussearchingtext

calendar_eventtype_label,Type of Event,Type d’événement,#MainCopy_ctl06_EventTypeLabel,text,
calendar_eventtype_title,Type of Event,Type d’événement,#MainCopy_ctl06_EventTypeLabel,attr,title
calendar_eventtype_option_all,All,Tous,#MainCopy_ctl06_EventTypeList option[value="00000000-0000-0000-0000-000000000000"],text,
calendar_eventtype_option_comm_event,Community Event,Événement communautaire,#MainCopy_ctl06_EventTypeList option[value="f307e2ac-871a-4b55-9fa0-0b3c22eaabf4"],text,
calendar_eventtype_option_webinar,Webinar,Webinaire,#MainCopy_ctl06_EventTypeList option[value="bf8abdd1-fdd4-458a-9c8f-6923522fe1a3"],text,

calendar_prevmonths_label,Show events from previous months,Afficher les événements des mois précédents,#MainCopy_ctl06_ShowEventsFromLabel,text,
calendar_prevmonths_title,Show events from previous months,Afficher les événements des mois précédents,#MainCopy_ctl06_ShowEventsFromLabel,attr,title

calendar_apply_filter_value,Apply Filter,Appliquer le filtre,#MainCopy_ctl06_SearchButton,attr,value
calendar_apply_filter_title,Apply Filter,Appliquer le filtre,#MainCopy_ctl06_SearchButton,attr,title

calendar_results_per_page_20,20 per page,20 par page,#MainCopy_ctl06_ddlResultsPerPage option[value="20"],text,
calendar_results_per_page_50,50 per page,50 par page,#MainCopy_ctl06_ddlResultsPerPage option[value="50"],text,
calendar_results_per_page_all,All,Tous,#MainCopy_ctl06_ddlResultsPerPage option[value="9999999"],text,

# === FILE: following-translated.csv ===

following.title,Followed Content,Contenu suivi,#MainCopy_ContentWrapper .TitleText,text,
# following.filter.all,All,Tout,[id^='FollowedContent_'][id$='-type-filter'] option[value=""],text,
# following.filter.blogs,Blogs,Billets,[id^='FollowedContent_'][id$='-type-filter'] option[value="blog"],text,
# following.filter.threads,Discussion Threads,Fils de discussion,[id^='FollowedContent_'][id$='-type-filter'] option[value="MessageThread"],text,
# following.filter.library,Library Entries,Éléments de la bibliothèque,[id^='FollowedContent_'][id$='-type-filter'] option[value="LibraryEntry"],text,
# following.filter.questions,Questions,Questions,[id^='FollowedContent_'][id$='-type-filter'] option[value="ContributedContent"],text,

followFilter.all,All,Tous,"select[id^='FollowedContent_'][id$='-type-filter'] + .btn-group.bootstrap-select .dropdown-menu.inner li[data-original-index='0'] a > span.text",text,
followFilter.blogs,Blogs,Blogues,"select[id^='FollowedContent_'][id$='-type-filter'] + .btn-group.bootstrap-select .dropdown-menu.inner li[data-original-index='1'] a > span.text",text,
followFilter.discussions,Discussion Threads,Fils de discussion,"select[id^='FollowedContent_'][id$='-type-filter'] + .btn-group.bootstrap-select .dropdown-menu.inner li[data-original-index='2'] a > span.text",text,
followFilter.library,Library Entries,Éléments de bibliothèque,"select[id^='FollowedContent_'][id$='-type-filter'] + .btn-group.bootstrap-select .dropdown-menu.inner li[data-original-index='3'] a > span.text",text,
followFilter.questions,Questions,Questions,"select[id^='FollowedContent_'][id$='-type-filter'] + .btn-group.bootstrap-select .dropdown-menu.inner li[data-original-index='4'] a > span.text",text,

followedList.postedBy,Posted By,Publié par,"[id^="FollowedContent_"][id$="-followed-list"] table tbody tr td:nth-of-type(2) > div:nth-of-type(2) > span:first-of-type",text,
# followedList.postedByv2,Posted By,Publié par,"#FollowedContent_a3bdb13544a04586a6116d4561c7fe29-followed-list > div:nth-child(1) > table > tbody > tr > td:nth-child(2) > div:nth-child(2) > span",text,

followedList.typeMeta,Blog ,Billet de blogue ,"[id^='FollowedContent_'][id$='-followed-list'] table tbody tr td:nth-of-type(2) > div:nth-of-type(3) > span:nth-of-type(1)",text,
followedList.typeLabel,In, Dans,"[id^='FollowedContent_'][id$='-followed-list'] table tbody tr td:nth-of-type(2) > div:nth-of-type(3) > span:nth-of-type(2)",text,

followedList.noData,No Data Found,Aucune donnée trouvée,"[id^='FollowedContent_'] .row.hl-no-data .col-md-11",text,

# === FILE: header-translated.csv ===

nav.logo.desktop.alt,Prosper Canada logo. This will take you to the homepage,Logo de Prosper Canada. Ceci vous mènera à la page d’accueil,#NavLogo_DesktopLogoDiv img,attr,alt
nav.logo.mobile.alt,Prosper Canada logo. This will take you to the homepage,Logo de Prosper Canada. Ceci vous mènera à la page d’accueil,#NavLogo_PhoneLogoDiv img,attr,alt

nav.toggle.sronly,Toggle navigation,Basculer la navigation,#MPButtonBar .navbar-toggle .sr-only,text,

search.toggle.aria,searchToggle,basculer la recherche,#SearchToggleIcon,attr,aria-label
search.input.aria,Search Box,Boîte de recherche,#SearchControl_SearchTerm,attr,aria-label
search.input.placeholder,Search,Rechercher,#SearchControl_SearchTerm,attr,placeholder
search.input.title,search,recherche,#SearchControl_SearchTerm,attr,title
search.button.aria,search,rechercher,#SearchControl_SearchButton,attr,aria-label

profile.menu.inbox,Inbox,Boîte de réception,a[qa-id="inbox-link"],text,
profile.menu.profile,Profile,Profil,a[qa-id="profile-link"],text,
profile.menu.myCommunities,My Communities,Mes communautés,a[qa-id="my-communities-link"],text,
profile.menu.followed,Followed Content,Contenu suivi,a[qa-id="followed-content-link"],text,
profile.menu.logout,Log Out,Fermer la session,a[qa-id="logout-link"],text,

create.button,Create,Créer,#CreateBtnWrapper [qa-id="btnThriveCreate"],text,
create.button.sronly,Toggle Dropdown,Basculer le menu,#CreateBtnWrapper [qa-id="btnThriveCreate"] .sr-only,text,
create.menu.discussion,Discussion Thread,Fil de discussion,#HLCreateDiscussionThread,text,
create.menu.library,Library Entry,Élément de la bibliothèque,#HLCreateLibraryEntry,text,

# topnav.memberHome,Member home,Accueil des membres,.nav.navbar-nav a[href="/home"] span,text,
# topnav.mediaKit,Media Kit,Trousse médiatique,.nav.navbar-nav a[href="/media-kit"] span,text,
# topnav.advisory,Advisory Committee,Comité consultatif,.nav.navbar-nav a[href="/advisory-committee"] span,text,
# topnav.funding,Funding Information,Renseignements sur le financement,.nav.navbar-nav a[href="/apply"] span,text,

# nav.home,"Home","Accueil","#MPButtonBar .navbar-nav a[href='/home'] span, #MPButtonBar .navbar-nav a[href='/home']",text,

# multiple selectors!
nav.home,"Home","Accueil","#MPButtonBar .navbar-nav a[href='/home'], #MPButtonBar .navbar-nav a[href='/sandboxmicrosite/home']",text,

nav.mediaKit,"Media Kit","Trousse pour les médias","#MPButtonBar .navbar-nav a[href='/media-kit'] span, #MPButtonBar .navbar-nav a[href='/media-kit']",text,
nav.advisory,"Advisory Committee","Le Comité consultatif","#MPButtonBar .navbar-nav a[href='/advisory-committee'] span, #MPButtonBar .navbar-nav a[href='/advisory-committee']",text,
nav.funding,"Funding Information","Informations sur le financement","#MPButtonBar .navbar-nav a[href='/apply'] span, #MPButtonBar .navbar-nav a[href='/apply']",text,
nav.faq,"FAQs","FAQ","#MPButtonBar .navbar-nav a[href='/faq'] span, #MPButtonBar .navbar-nav a[href='/faq']",text,

# === FILE: login-translated.csv ===

# login.panel.title,Members - Login here,Membres — Connectez-vous ici,#MainCopy_ctl07_LoginSectionH2,text,
# login.email.label,Email,Courriel,#MainCopy_ctl07_LoginUserNameLabel,text,
